address,项目ID,lat_分析,lon_分析,分享截图,屋顶检测,问题截图,整体效果,问题截图,问题分类,A截图,B截图,C截图,面板铺设,问题截图,电池墙,问题截图,掩码分割,问题截图,标注区域,备注信息,标注人,备注,,,,,,,,
"28 Romney St, Kamerunga QLD 4870澳大利亚",6527,,,,合理,,合理,,,,,,铺设错乱,,合理,,合理,,,,王春丽,,,,,,,,,
"24 Romney St, Kamerunga QLD 4870澳大利亚",6525,-16.87582,145.6870455,,合理,,有问题,,差异较大,,,,合理,,可接受,,合理,,,,王春丽,,,可能是坡度 10°的问题,,,,,,
"15 Sandwich St, Kamerunga QLD 4870澳大利亚",6528,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"18 Romney St, Kamerunga QLD 4870澳大利亚",6529,-16.8760698,145.6878517,,合理,,有问题,,模型倒立,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"1 Sandwich St, Kamerunga QLD 4870澳大利亚",6532,-16.8757459,145.6894389,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"7 Romney St, Kamerunga QLD 4870澳大利亚",6536,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"7 Kara Cl, Kamerunga QLD 4870澳大利亚",6540,-16.877067,145.6868463,,合理,,,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"11 Hastings St, Kamerunga QLD 4870澳大利亚",6543,-16.8778542,145.6883198,,合理,,有问题,,缩放问题,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"7A Hastings St, Kamerunga QLD 4870澳大利亚",6548,-16.8779211,145.6885793,,合理,,有问题,,模型旋转,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"9A Hastings St, Kamerunga QLD 4870澳大利亚",7236,-16.8786646,145.6882894,,合理,,有问题,,模型旋转,,,,,,可接受,,合理,,,,王春丽,已解决,,,,,,,,
"64 Harley St, Kamerunga QLD 4870澳大利亚",6561,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"13 Staghorn Cl, Kamerunga QLD 4870澳大利亚",6563,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"11 Staghorn Cl, Kamerunga QLD 4870澳大利亚",6572,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"22 Majestic St, Kamerunga QLD 4870澳大利亚",6573,-16.8806188,145.6924519,,合理,,可接受,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"3 Mistletoe Cl, Kamerunga QLD 4870澳大利亚",6581,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"5 Raphis Cl, Kamerunga QLD 4870澳大利亚",6593,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"10 Raphis Cl, Kamerunga QLD 4870澳大利亚",6599,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"9 Raphis Cl, Kamerunga QLD 4870澳大利亚",6603,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"4 Seabreeze Ct, Redlynch QLD 4870澳大利亚",6608,-16.8816519,145.6899639,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"6 Tradewinds Cl, Redlynch QLD 4870澳大利亚",6610,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"5 Tradewinds Cl, Redlynch QLD 4870澳大利亚",6612,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"3A Hythe St, Kamerunga QLD 4870澳大利亚",6614,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"3B Hythe St, Kamerunga QLD 4870澳大利亚",6618,-16.8783767,145.6867709,,合理,,可接受,,,,,,,,合理,,效果差,,,,王春丽,,,,,,,,,
"5 Abington Cl, Redlynch QLD 4870澳大利亚",6620,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"10 Regent Ave, Redlynch QLD 4870澳大利亚",6646,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"10 Ellestree Cl, Redlynch QLD 4870澳大利亚",6648,-16.8832519,145.6905997,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"18 Pepperwood St, Redlynch QLD 4870澳大利亚",6655,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"22 Pepperwood St, Redlynch QLD 4870澳大利亚",6657,-16.8838738,145.6904381,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"16 Pepperwood St, Redlynch QLD 4870澳大利亚",6662,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"8 Pepperwood St, Redlynch QLD 4870澳大利亚",6664,-16.884066,145.691843,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"38 Regent Ave, Redlynch QLD 4870澳大利亚",6667,,,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,王春丽,,,,,,,,,
"29 Regent Ave, Redlynch QLD 4870澳大利亚",6670,-16.8829964,145.6919302,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"13 Ellestree Cl, Redlynch QLD 4870澳大利亚",6674,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"14 Ellestree Cl, Redlynch QLD 4870澳大利亚",6677,-16.8835832,145.6907351,,合理,,有问题,,方案兜底,,,,,,,,,,,,王春丽,走的兜底卡片，create 返回方案为空,,,,,,,,
"10 Regent Ave, Redlynch QLD 4870澳大利亚",6683,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"5 Ellestree Cl, Redlynch QLD 4870澳大利亚",6685,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"36 Regent Ave, Redlynch QLD 4870澳大利亚",6688,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"29 Pepperwood St, Redlynch QLD 4870澳大利亚",6695,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"59 Daphne Dr, Redlynch QLD 4870澳大利亚",6699,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"67 Daphne Dr, Redlynch QLD 4870澳大利亚",6702,-16.8854325,145.689024,,合理,,可接受,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"5 Tyson Pl, Redlynch QLD 4870澳大利亚",6716,-16.8857592,145.6955483,,合理,,合理,,,,,,合理,,可接受,,合理,,,,王春丽,,,,,,,,,
"1 Tyson Pl, Redlynch QLD 4870澳大利亚",6720,-16.8858543,145.6952851,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"16 Tyson Pl, Redlynch QLD 4870澳大利亚",6728,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"52 Terminalia St, Redlynch QLD 4870澳大利亚",6732,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"35 Terminalia St, Redlynch QLD 4870澳大利亚",6734,-16.8891061,145.6872888,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,,王春丽,,,,,,,,,
"5 Alstonia Cl, Redlynch QLD 4870澳大利亚",6747,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"8 Alstonia Cl, Redlynch QLD 4870澳大利亚",6752,,,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"10 Terminalia St, Redlynch QLD 4870澳大利亚",6756,-16.8898529,145.6897389,,合理,,合理,,,,,,合理,,可接受,,合理,,,,王春丽,,,,,,,,,
"48 Eugenia Cres, Redlynch QLD 4870澳大利亚",6764,,,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"54 Eugenia Cres, Redlynch QLD 4870澳大利亚",6769,-16.8898668,145.6902835,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,,王春丽,,,,,,,,,
"5 Frank St, Redlynch QLD 4870澳大利亚",6792,-16.8929056,145.696601,,合理,,合理,,,,,,铺设错乱,,错误,,合理,,,,王春丽,,,,,,,,,
"15 Charlekata Cl, Freshwater QLD 4870澳大利亚",6806,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"21 Charlekata Cl, Freshwater QLD 4870澳大利亚",6808,-16.8854189,145.7049506,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"286 Kamerunga Rd, Freshwater QLD 4870澳大利亚",6824,-16.8835265,145.70655,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"40 Duffy St, Freshwater QLD 4870澳大利亚",6827,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"11 Martin St, Freshwater QLD 4870澳大利亚",6830,-16.884018,145.7076545,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"48 Duffy St, Freshwater QLD 4870澳大利亚",6833,-16.8827586,145.7082674,,合理,,可接受,,,,,,铺设错乱,,合理,,合理,,,,王春丽,,,,,,,,,
"117 Old Smithfield Rd, Freshwater QLD 4870澳大利亚",6837,-16.8822952,145.7101221,,合理,,有问题,,缩放问题,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"117D Old Smithfield Rd, Freshwater QLD 4870澳大利亚",6840,-16.8827037,145.7100443,,合理,,有问题,,差异较大,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"8 Le Grande St, Freshwater QLD 4870澳大利亚",6845,-16.8814626,145.7134458,,合理,,有问题,,方案兜底,,,,,,,,,,,,王春丽,,,,,,,,,
"6 Le Grande St, Freshwater QLD 4870澳大利亚",6850,-16.8814098,145.7136627,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"80 Old Smithfield Rd, Freshwater QLD 4870澳大利亚",6853,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"3 Clearwater St, Freshwater QLD 4870澳大利亚",6855,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"12 Merrybrook St, Freshwater QLD 4870澳大利亚",6858,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"10 Clearwater St, Freshwater QLD 4870澳大利亚",6865,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"86 Petersen St, Freshwater QLD 4870澳大利亚",6866,-16.8827163,145.7165278,,合理,,合理,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"9 Delta View Cl, Freshwater QLD 4870澳大利亚",6868,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"17 Simon St, Freshwater QLD 4870澳大利亚",6874,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"36 Simon St, Freshwater QLD 4870澳大利亚",6876,,,,合理,,有问题,,模型倒立,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"32 Simon St, Freshwater QLD 4870澳大利亚",6877,,,,合理,,合理,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"95 Cassowary St, Freshwater QLD 4870澳大利亚",6884,-16.8799373,145.7176338,,合理,,合理,,,,,,孤立面板,,合理,,合理,,,,王春丽,,,,,,,,,
"14 Down St, Freshwater QLD 4870澳大利亚",6892,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"13 Canopy Cl, Freshwater QLD 4870澳大利亚",6894,,,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"17 Canopy Cl, Freshwater QLD 4870澳大利亚",6895,-16.8773314,145.7179725,,合理,,可接受,,,,,,,,合理,,合理,,,,王春丽,,,,,,,,,
"129 Kamerunga Rd, Freshwater QLD 4870澳大利亚",6901,-16.8770193,145.7210626,,合理,,可接受,,,,,,铺设错乱,,合理,,合理,,,,王春丽,,,,,,,,,
"15 Primo St, Freshwater QLD 4870澳大利亚",6908,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"6 Wilunga St, Stratford QLD 4870澳大利亚",6925,-16.8777107,145.726693,,合理,,有问题,,方案兜底,,,,,,,,,,,,王春丽,,,,,,,,,
"71 Kamerunga Rd, Stratford QLD 4870澳大利亚",6929,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,王春丽,,,,,,,,,
"28 Lily St, Cairns North QLD 4870澳大利亚",7398,-16.9048232,145.7575202,,合理,,可接受,,,,,,,,可接受,,合理,,,,王春丽,,,,,,,,,
"22 Aldworth Pl, Springfield Lakes QLD 4300澳大利亚",7404,-27.6586662,152.9243537,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,"Springfield Lakes QLD 4300, Australia ",,,,,,,,
"2 Benjamin Ct, Springfield Lakes QLD 4300澳大利亚",7414,-27.6602655,152.9248343,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"7 North Ct, Springfield Lakes QLD 4300澳大利亚",7420,-27.659778,152.9248877,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"4 Eve Ct, Springfield Lakes QLD 4300澳大利亚",7427,-27.6605477,152.9254931,,合理,,可接受,,,,,,,,可接受,,合理,,,,,,,,,,,,,
"49 Eden Cres, Springfield Lakes QLD 4300澳大利亚",7431,-27.6611985,152.9254595,,合理,,有问题,,模型旋转,,,,合理,,合理,,合理,,,,,,,,,,,,,
"46 Ellen Cct, Springfield Lakes QLD 4300澳大利亚",7440,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"4 Aldworth Pl, Springfield Lakes QLD 4300澳大利亚",7446,-27.659641,152.9234256,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"26 Ellen Cct, Springfield Lakes QLD 4300澳大利亚",7452,-27.6605878,152.9227216,,合理,,可接受,,,,,,合理,,可接受,,合理,,,,,,,,,,,,,
"30 Ellen Cct, Springfield Lakes QLD 4300澳大利亚",7456,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"20 Ellen Cct, Springfield Lakes QLD 4300澳大利亚",7463,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"3 Ellen Cct, Springfield Lakes QLD 4300澳大利亚",7468,-27.6615662,152.9228821,,合理,,有问题,,缩放问题,,,,合理,,合理,,效果差,,,,,,,,,,,,,
"8 Eden Cres, Springfield Lakes QLD 4300澳大利亚",7473,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"12 Eden Cres, Springfield Lakes QLD 4300澳大利亚",7475,-27.6616229,152.9236107,,合理,,有问题,,缩放问题,,,,合理,,合理,,效果差,,,,,,,,,,,,,
"9 Eden Cres, Springfield Lakes QLD 4300澳大利亚",7481,-27.6615934,152.9243197,,合理,,已解决,,服务错误,,,,,,,,合理,,,,,现在好了,,,,,,,,
"15 Nevada Rd, Park Ridge QLD 4125澳大利亚",7488,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"17 Nevada Rd, Park Ridge QLD 4125澳大利亚",7492,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"24 Nevada Rd, Park Ridge QLD 4125澳大利亚",7496,,,,合理,,可接受,,,,,,,,可接受,,合理,,,,,,,,,,,,,
"16 Nevada Rd, Park Ridge QLD 4125澳大利亚",7500,,,,合理,,可接受,,,,,,,,合理,,合理,,,模型未贴合地面,,,,,,,,,,
"24 Anne St, Park Ridge QLD 4125澳大利亚",7507,-27.7118451,153.0898478,,合理,,有问题,,缩放问题,,,,,,合理,,效果差,,,,,,,,,,,,,
"12 Anne St, Park Ridge QLD 4125澳大利亚",7509,-27.7117405,153.0891307,,合理,,有问题,,模型旋转,,,,合理,,合理,,合理,,,,,,,,,,,,,
"5 Anne St, Park Ridge QLD 4125澳大利亚",7522,-27.71215,153.0888865,,合理,,可接受,,,,,,合理,,合理,,效果差,,,模型多生成了一块地面,,,,,,,,,,
"15 Isla St, Park Ridge QLD 4125澳大利亚",7537,-27.7130507,153.0893469,,合理,,可接受,,,,,,位置错误,,合理,,效果差,,,,,,,,,,,,,
"7 Lani St, Park Ridge QLD 4125澳大利亚",7541,,,,合理,,可接受,,,,,,,,合理,,效果差,,,,,,,,,,,,,
"8 Lani St, Park Ridge QLD 4125澳大利亚",7547,-27.7133825,153.0899916,,合理,,有问题,,缩放问题,,,,数量很少,,合理,,效果差,,,,,,,,,,,,,
"87 Mercy Cct, Park Ridge QLD 4125澳大利亚",7556,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"91 Mercy Cct, Park Ridge QLD 4125澳大利亚",7559,-27.7136732,153.0908704,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,,,,,,,,,,,
"78 Mercy Cct, Park Ridge QLD 4125澳大利亚",7566,-27.7140312,153.0900568,,合理,,有问题,,模型旋转,,,,,,可接受,,合理,,,,,,,,,,,,,
"4+Exalt+Pl,+Park+Ridge+QLD+4125,+Australia",7580,-27.7137803,153.091854,,合理,,有问题,,差异较大,,,,,,合理,,效果差,,,,,,,,,,,,,
"78 Beck St, Park Ridge QLD 4125澳大利亚",7593,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,,,,,,,,,,
"45 Beck St, Park Ridge QLD 4125澳大利亚",7599,-27.710026,153.0889452,,合理,,可接受,,,,,,,,可接受,,合理,,,,,,,,,,,,,
"31 Beck St, Park Ridge QLD 4125澳大利亚",7603,-27.7108119,153.0887292,,合理,,可接受,,,,,,,,合理,,效果差,,,,,,,,,,,,,
"30 Beck St, Park Ridge QLD 4125澳大利亚",7606,-27.7118922,153.0880594,,合理,,可接受,,,,,,合理,,错误,,效果差,,,,,,,,,,,,,
"6 Beck St, Park Ridge QLD 4125澳大利亚",7612,-27.7133321,153.0878681,,合理,,可接受,,,,,,,,合理,,效果差,,,,,,,,,,,,,
"16 Formosa St, Park Ridge QLD 4125澳大利亚",7627,-27.7139718,153.0877691,,合理,,有问题,,差异较大,,,,合理,,合理,,效果差,,,,,,,,,,,,,
"46 Neptune St, Springfield Lakes QLD 4300澳大利亚",7633,-27.6680024,152.9278958,,合理,,有问题,,差异较大,,,,合理,,合理,,合理,,,,,,,,,,,,,
"43 Neptune St, Springfield Lakes QLD 4300澳大利亚",7645,-27.6683076,152.9276233,,合理,,可接受,,,,,,,,错误,,合理,,,,,,,,,,,,,
"5 Prospero Cct, Springfield Lakes QLD 4300澳大利亚",7650,-27.6693282,152.9264351,,合理,,有问题,,模型旋转,,,,孤立面板,,合理,,合理,,,,,,,,,,,,,
"19 Lloyd Bird Cres, Springfield Lakes QLD 4300澳大利亚",7656,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"8 Lloyd Bird Cres, Springfield Lakes QLD 4300澳大利亚",7662,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
"10 Birdwing Ct, Springfield Lakes QLD 4300澳大利亚",7705,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
