Year,maxValue,mostPopular,customFit
0,-7857.5,-16598.0,-20232.0
1,1857.639620498763,2522.72882571204,2695.475586498766
2,1850.2090620167678,2512.637910447656,2684.6936841890674
3,1842.8082257687008,2502.5873588058653,2673.954909452311
4,1835.436992865626,2492.5770093706415,2663.2590898145017
5,1828.0952448941634,2482.606701333159,2652.606053455244
6,1820.7828639145869,2472.6762745278265,2641.9956292414226
7,1813.4997324589285,2462.785569429715,2631.427646724457
8,1806.2457335290928,2452.9344271519963,2620.9019361375595
9,1799.0207505949763,2443.1226894433885,2610.418328393009
10,1791.8246675925964,2433.350198685615,2599.976655079437
11,1784.6573689222262,2423.6167978908725,2589.5767484591192
12,1777.5187394465372,2413.922330699309,2579.218441465283
13,1770.408664488751,2404.2666413765114,2568.901567699422
14,1763.327029830796,2394.6495748110056,2558.625961428624
15,1756.2737217114727,2385.0709765117613,2548.3914575829094
16,1749.2486268246269,2375.5306926057146,2538.197891752578
17,1742.2516323173284,2366.0285698352914,2528.0451001855677
18,1735.282625788059,2356.5644555559506,2517.932919784825
19,1728.3414952849068,2347.1381977337264,2507.861188105686
20,1721.4281293037673,2337.7496449427917,2497.829743353263
